Customer_ID,Age,Gender,Region,Employment_Status,Annual_Income,Dependents
1,56,M,Mumbai,Salaried,1624010.0,0
2,69,female,Delhi,Self-Employed,2454077.0,3
3,46,female,Mumbai,Self-Employed,1479379.0,0
4,32,Male,Pune,Self-Employed,1139501.0,4
5,60,Female,Delhi,Self-Employed,2464094.0,3
6,25,F,Pune,Unemployed,258529.0,2
7,38,F,Delhi,Salaried,1700315.0,1
8,56,Male,Mumbai,Self-Employed,1938050.0,1
9,36,M,Mumbai,Self-Employed,1709289.0,4
10,40,F,Delhi,Salaried,308043.0,4
11,28,F,Mumbai,Salaried,870528.0,1
12,28,male,Bangalore,Salaried,2237074.0,3
13,41,Female,Bangalore,Salaried,322793.0,3
14,53,M,Pune,Salaried,2167576.0,0
15,57,female,Bangalore,Unemployed,1309839.0,2
16,41,Female,Bangalore,Salaried,1538384.0,3
17,20,M,Chennai,Unemployed,504347.0,2
18,39,F,Chennai,Salaried,1515302.0,4
19,19,male,Chennai,Salaried,491626.0,3
20,41,Female,Chennai,Self-Employed,1152315.0,3
21,61,F,Mumbai,Self-Employed,1415792.0,3
22,47,M,Pune,Self-Employed,1027908.0,0
23,55,Female,Pune,Self-Employed,282754.0,4
24,19,female,Bangalore,Self-Employed,1658799.0,1
25,38,Female,Pune,Self-Employed,2251982.0,0
26,50,F,Bangalore,Salaried,2392515.0,0
27,29,Female,Pune,Salaried,313195.0,3
28,39,female,Delhi,Self-Employed,1345719.0,0
29,61,male,Delhi,Self-Employed,439831.0,1
30,42,male,Pune,Self-Employed,493619.0,0
31,66,F,Mumbai,Salaried,233683.0,0
32,44,M,Bangalore,Self-Employed,276810.0,3
33,59,F,Pune,Self-Employed,,4
34,45,male,Bangalore,Salaried,2004311.0,1
35,33,Male,Chennai,Salaried,700518.0,3
36,32,Male,Pune,Unemployed,1419561.0,0
37,64,Female,Mumbai,Self-Employed,461731.0,1
38,68,female,Chennai,Salaried,492432.0,2
39,61,Female,Pune,Unemployed,837168.0,0
40,69,Male,Delhi,Salaried,1239171.0,4
41,20,male,Pune,Unemployed,225682.0,0
42,54,Female,Delhi,Unemployed,2119414.0,4
43,68,F,Delhi,Self-Employed,451594.0,2
44,24,female,Pune,Self-Employed,,3
45,38,F,Pune,Unemployed,514716.0,3
46,26,female,Delhi,Self-Employed,1354094.0,3
47,56,male,Bangalore,Salaried,2259266.0,1
48,35,Female,Chennai,Salaried,1389177.0,4
49,21,female,Mumbai,Unemployed,1474182.0,0
50,42,F,Pune,Unemployed,2279707.0,1
51,31,Female,Chennai,Salaried,2083216.0,1
52,67,Female,Chennai,Salaried,1103987.0,0
53,26,F,Bangalore,Unemployed,859943.0,2
54,43,Male,Chennai,Salaried,1440874.0,3
55,19,female,Pune,Salaried,1127832.0,2
56,37,F,Chennai,Unemployed,1335750.0,2
57,45,male,Pune,Self-Employed,518379.0,3
58,64,M,Pune,Salaried,1401330.0,2
