Loan_ID,Customer_ID,Loan_Type,Loan_Amount,Outstanding_Debt,Interest_Rate,Monthly_EMI,Missed_Payments
1,1717,Education,2351369,1639109,17.27,41614,8
2,7172,Car,4434791,3547654,5.53,15629,0
3,1544,Education,758112,2637637,26.92,36787,6
4,9801,Car,579081,422083,14.19,68269,9
5,9974,Home,380559,2305948,0.54,51351,9
6,6599,Education,1805405,2325819,20.43,15472,5
7,4328,Car,4348883,1409600,27.0,77705,7
8,4477,Business,4132895,3605356,38.77,71944,11
9,2257,Personal,2072960,3084042,48.99,33800,8
10,7966,Personal,341099,2797232,43.33,93404,8
11,3147,Education,4870020,3892951,27.08,41317,3
12,5035,Business,731464,2040860,40.34,77535,2
13,783,Home,1995099,3556519,41.46,65561,3
14,5447,Personal,2139444,1248496,48.34,43496,5
15,7229,Education,2311104,2958100,12.35,61148,4
16,9027,Personal,882083,1195709,12.59,53368,7
17,5648,Education,434196,347619,10.93,50561,4
18,6068,Business,4329657,1074533,45.06,52994,3
19,6922,Car,1801871,161946,34.2,95183,11
20,4893,Car,1359194,3130569,6.99,45971,1
21,5326,Car,4385218,442546,48.07,97214,2
22,7557,Car,1825253,2489886,30.27,39992,1
23,4299,Home,2911493,3098629,0.11,93125,4
24,4470,Education,4941822,3852886,21.83,81603,7
25,2521,Home,3932820,3288575,38.64,12581,3
26,1548,Car,905887,1954487,15.51,90781,4
27,4148,Car,4573037,490490,33.56,12560,11
28,6495,Business,1779881,3156872,35.9,86515,1
29,3915,Personal,1577944,1815040,41.43,31079,10
30,1767,Car,702626,3643553,29.02,24034,6
31,843,Home,1732554,2756680,9.58,13527,10
32,9287,Home,325209,187203,42.11,83409,2
33,3906,Home,2736855,2772990,9.16,80877,7
34,46,Business,4029447,104182,22.93,86765,1
35,4964,Home,1879657,235653,4.5,13563,1
36,5723,Education,3298139,1291919,7.96,10640,3
37,6163,Education,3557487,2988104,9.59,69749,7
38,2899,Business,1884137,812798,35.97,60487,1
39,7797,Education,3092945,3219815,10.99,96976,4
40,7797,Business,4189485,3732985,25.61,86259,4
41,7107,Business,4767115,3425140,33.87,14936,8
42,5398,Business,3414560,706624,27.5,52800,8
43,3768,Education,3427046,2046837,33.03,86630,0
44,477,Car,4960048,2120050,44.97,31494,10
45,5039,Education,224523,3489550,48.3,92375,8
46,6773,Business,2110839,2029594,34.2,54621,2
47,2902,Personal,490011,1715767,9.34,92341,8
48,7125,Education,753288,1148304,48.96,21065,0
49,7780,Personal,4884808,3614315,3.51,65724,4
50,5810,Education,3489674,2201606,46.39,17244,7
51,9917,Business,3367531,2926106,22.59,50614,5
52,5616,Education,491732,216571,42.12,46234,0
53,4836,Home,802085,2422777,17.01,59995,11
54,2912,Home,4345807,1122960,28.07,9245,10
55,5346,Business,1572177,1361916,7.08,51867,10
56,4634,Car,828692,589282,45.26,13325,11
57,8310,Personal,263719,2961567,14.99,85878,7
58,7398,Education,3224504,3676260,13.12,13016,11
59,2289,Business,3015867,446069,22.28,87167,10
60,8685,Personal,395573,3560455,18.28,54770,3
61,6338,Education,1492865,3564554,6.9,87274,0
62,1865,Education,1680787,948427,1.23,19377,9
63,3963,Car,1125270,370350,16.05,83340,7
64,1453,Personal,4540968,695378,35.99,72499,8
65,1991,Education,4829961,3277319,9.45,92497,7
66,1345,Car,2407633,3090470,8.62,25085,7
67,7785,Home,925142,1694969,26.61,77498,6
68,1641,Car,64957,306563,33.58,87518,11
69,1955,Personal,1404439,1821317,49.34,43876,0
70,4946,Car,3753230,1752476,4.17,85682,11
71,4822,Home,2622828,2387235,23.18,61627,1
72,6544,Home,2580406,2032130,48.44,90332,0
73,559,Personal,1284772,1161345,32.16,7310,8
74,8307,Business,4236477,1633,32.53,49345,1
75,7957,Car,958890,1622463,44.95,27833,1
76,6122,Personal,2382704,2320697,16.99,73829,8
77,3465,Education,3180278,3533599,27.41,52319,9
78,6109,Car,3798109,268597,23.41,94533,2
79,3788,Home,3086449,333789,17.1,38022,1
80,8456,Car,1985518,1968030,44.15,77867,4
81,330,Personal,2330164,2343036,20.93,4261,7
82,6319,Business,146709,2775799,7.06,91981,1
83,5332,Business,4606057,3993799,7.76,81436,9
84,6539,Education,2930220,2413891,5.73,89269,4
85,7920,Personal,871939,2312264,37.26,4769,4
86,8063,Car,2852803,1884916,48.05,47736,10
87,6568,Home,1292884,1289139,12.09,88556,0
88,6532,Car,871171,3108809,2.48,75612,2
89,384,Car,1764557,575762,6.33,84423,2
90,5222,Home,4859404,3621630,36.91,97642,8
91,3890,Education,2880098,1365650,39.86,6351,0
92,3630,Business,2849481,3022949,17.42,25148,7
93,4952,Business,694645,410938,0.42,73912,3
94,6186,Car,522256,1751440,43.37,68814,9
95,6236,Personal,4235036,2948759,4.54,2392,10
96,8472,Business,535780,2180147,7.66,84557,6
97,1869,Education,3379037,2139307,12.34,31878,4
98,1766,Education,1505885,186500,31.78,3459,9
99,6938,Home,3105341,734770,17.47,17567,6
100,7554,Personal,2331671,2677860,2.27,59262,3
101,7393,Business,4854030,2173391,37.99,49442,3
102,4444,Personal,1282499,3035666,27.68,30630,11
103,3419,Business,551265,1186160,41.51,88978,8
104,4797,Home,2420007,2437992,3.29,42395,1
105,2490,Personal,2977752,2963201,47.57,82775,0
106,8673,Personal,2970665,980714,5.14,73081,7
107,4943,Business,690895,2061301,27.9,68344,5
108,9390,Car,3067484,182274,26.01,31216,10
109,6659,Business,3802167,1795470,44.61,40435,5
110,8010,Personal,1306614,64543,28.1,27968,6
111,8029,Home,4841868,2534699,13.93,98858,2
112,9799,Home,3700268,1836327,8.59,28028,3
113,9764,Car,4366389,2105248,12.98,33112,0
114,6742,Car,1233834,3830391,13.52,35554,8
115,4575,Personal,119205,3821877,10.58,68136,10
116,7655,Car,257677,1215574,11.7,89890,3
117,9922,Home,932041,3604678,42.85,62965,5
118,9905,Personal,1798376,2313139,43.53,66585,6
119,4038,Car,1958731,1480540,26.55,21621,11
120,9811,Home,2249701,1323387,45.74,60952,1
121,1179,Car,345771,3417982,25.24,75575,4
122,4550,Home,2645596,313762,29.99,57284,4
123,2,Personal,2938365,1988787,49.7,76811,1
124,4599,Home,2662058,3155577,18.66,69456,10
125,9404,Education,4368301,3048205,31.38,96141,11
126,4746,Business,1242889,2681174,34.2,99767,10
127,1213,Home,475115,408989,29.78,59603,7
128,9512,Education,3423166,3455675,15.76,16834,2
129,5125,Car,3995640,2261017,46.08,18300,7
130,7950,Business,3405795,3880342,44.8,19233,5
131,8415,Home,4805506,3580919,47.58,13753,0
132,7257,Home,3398081,1495466,19.0,10525,3
133,710,Personal,438743,2310828,44.41,19530,11
134,4547,Home,1636041,2741301,31.6,80995,7
135,3695,Business,2081775,429165,49.81,19199,5
136,6386,Car,2203574,3372864,20.46,88447,11
137,5271,Personal,2569253,1181638,0.26,39070,8
138,3521,Business,4012324,1345057,25.22,99809,10
139,1103,Home,3063291,2267254,26.94,66344,1
140,5873,Business,4429299,1897552,23.18,82797,8
141,5608,Business,4723219,710308,20.29,67890,7
142,4518,Car,2961498,1038710,11.0,30253,10
143,8846,Home,2038355,2906703,36.53,64967,4
144,915,Education,1837465,2889187,26.6,36118,5
145,801,Personal,3588272,3994188,5.22,94143,8
146,3061,Car,718708,847501,5.03,69419,1
147,3873,Personal,2626720,2393447,38.86,26947,8
